,HashFunction,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
22896,ed616a6d6c45fc11d2f43afa0e653b9c00e0d83e95e4030b73c37c08b610ac97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,9,6,5,2,9,4
25821,59029a4324e5bec908f223966be102c3087ab9bf0c3b61cf55828c013e3a9ae2,10,4,6,5,5,10,0,10,5,5,8,1,9,4,5,4,5,9,0,9,4,5,4,5,9,4,5,4,5,9
5622,0b39dc7720a1e6d6dbec0937cfc4cfb6a54308f42cdb5d64e164c62e0bcde293,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
22458,23358fc3aebd605fe0f81782dcc5f0a1b61a16af3fab8b892cea48cb42f3d2fe,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24304,d9c9e5dfeb6a51b2fd36a4eb056a9203389366d55f9f06923c745d300671c263,8,0,2,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0
24605,61eee16251b7bfe678c608b6abc766f1146e20cab82f7281b8c09f907b66a8dc,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
41848,242a67de8818a2d39bd55aeb02a8d76167adf8aaee00ecfb0ee61d15696b8b71,10,10,10,10,10,0,10,10,10,10,9,0,10,9,10,10,10,10,0,10,10,10,10,10,10,0,9,10,10,10
3189,920522181d93f7b66bb2a2eba4ed0c092a8eef156b00ae7b680f48e99669505e,8,8,8,9,8,8,8,8,7,9,8,8,8,8,8,8,8,8,8,9,8,8,7,9,8,8,8,8,8,7
6129,2b9c4b11c97add83a536512a966d84a613663b3e225e09bbc15cab811465b099,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,8,8,8,8,8,8,8,8,8,8,8,9
47022,47f5c8748a0f483fb2f7477ae1b5a30962d71a8434f5699e6f59fa06b4979240,3,8,3,8,3,8,3,8,3,8,3,8,3,7,4,8,3,8,3,8,3,8,3,8,3,8,3,8,3,8
43158,1d742328d84bce1d75185b7ac48e372a141871a4cfbd6e9017879b9f6df95d52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
24605,61eee16251b7bfe678c608b6abc766f1146e20cab82f7281b8c09f907b66a8dc,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
16849,49d028da5046c7b046c96e638a9ad8466922a9310618aeea3fd4f4083a59e546,9,9,9,8,9,9,9,9,8,9,9,9,9,8,9,9,9,9,8,9,9,9,9,8,9,9,9,10,7,9
33826,890a52b5fb1c3d041e5ef16980e648268f64c04898766795223b7f1d41e301ec,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
29899,f6bbcc26ccec691d900fb5db7e0bbda30bce918bf0f649f1e64aec9bec50aa6d,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7732,28a750233fd681a8441ed03e0df422285a515b7123f6f9f862ca450747f9930c,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,7,8,8,8,8,8,8,8
20550,45518d19aba20e27cb7e7c575d109d4b7ef538076b4cc7d79e96f2ee57a384d4,5,2,7,8,5,7,10,8,7,8,6,5,2,7,6,8,8,4,5,9,4,5,7,6,10,10,9,3,10,6
24604,461b65c510c51a3531dfc14d23c8def2aeea9ddadb4e8a9ed6ba6a7838e37832,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
23613,b390ba6d7e50146881074ae4045d147a2d4c8a545ecd970c727f92d853c4b9fb,8,8,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,8,6,8,8,8,8,8,8,8,8
35276,05ae7dfe8b546b4bb7ff5890c6d6130466a47665659ab1af6c6021f97bb3bb1f,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
43900,d3637d73cfa483baa69ada7d307b121cdd00617930859b9cf3d81701e594ec99,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,7,6,7,8,8,8,8,8,8,8
