,HashFunction,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
18071,ce7fae9bea195300f2f119270b8f29408e8f1d9331d68bf325d159815c9ce4af,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
40156,2a2a54290dd49fbebaa55f6ef11fe25b503ce4ef026cea7df203f5d592efd6f0,4,5,3,4,4,4,4,5,4,4,3,4,4,4,5,3,4,5,3,4,4,4,5,3,4,5,3,5,3,4
21545,0d4c72e1975a58e17f74453dde00f893759696e9df3cac6da6ffc6dd8d25f308,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4
10000,59b1e3fef46bb4bb1bb283e1e82cadc74d2d48288ee752e35560e907a5e8c111,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
25368,faf00370332eb111224c57ed933457db455afd66802f281eb66e4540b221f9b2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
15405,ae08afdccc6fd2949af9b66021197776a4e505da08fc17a31eb46d8f5754735e,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
21545,0d4c72e1975a58e17f74453dde00f893759696e9df3cac6da6ffc6dd8d25f308,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4
48211,caf372d99cd07567df29e30b1bed59cdde8f6be8745422914f154590ff584d9f,3,3,3,3,4,3,4,3,4,4,3,3,4,3,4,4,4,4,4,4,4,3,4,3,4,3,4,3,4,3
10000,59b1e3fef46bb4bb1bb283e1e82cadc74d2d48288ee752e35560e907a5e8c111,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
25368,faf00370332eb111224c57ed933457db455afd66802f281eb66e4540b221f9b2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
48205,4c8c89f399ab12a11e9c73685c90aaa7354a8ccc0e0bbaaff9488926c2fd7b63,4,3,3,4,3,4,4,4,4,3,4,4,4,3,3,3,4,4,4,4,4,3,4,4,3,3,4,3,4,4
29775,f94efa173d4741311fae100f20bcf5306c491eea71bb0aafbd7a6fad19dafa6a,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
40365,6b1a825eb95b5a1028361d70963ca9495cf2e4c32c51933119a5ec7ab2f70d78,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
26455,24e81a555f77f390461c33eabd6b5519178ba67882bd3db711b92dff1acabf0a,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
24997,c3407e663932ba1147f188353f168e28a78b6ff058a9bc24fe25e6d22cd818a1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
35291,36ad922baf722112395393e367992d8713ed931a363eb22fc11db50580c9ce7b,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
28117,d3e03606fd237190f208755ee4877372e5cd655a1b6c2a351ce480040e1a886b,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
26455,24e81a555f77f390461c33eabd6b5519178ba67882bd3db711b92dff1acabf0a,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
47206,3e3e14e8d7ccf080460f796a8e29875c22b42414305e2765a3df926e1cfe72f6,3,4,5,3,5,3,4,4,4,4,5,4,3,5,3,4,4,4,5,3,4,4,4,4,4,4,4,5,3,5
33580,4004d859198c3e3c587b508151a7a778ca02644b260b5903e2c6b0d43b745381,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
35291,36ad922baf722112395393e367992d8713ed931a363eb22fc11db50580c9ce7b,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
