,HashFunction,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
40026,7ce8b85705ae715a16860f68fc4c0e067413495de622aae4671383e72ba82a46,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
44576,167c4df14966a145e2b2e7431edf52d5a1705769168825d19ca24f4864331e8f,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25058,b2296114b8741e84c300bb6ec0f365f2010004b93b57d6f5b183c2751c7f189d,1,4,1,4,0,0,1,1,1,2,2,4,3,1,0,1,5,2,3,2,3,2,1,3,3,5,2,2,2,1
15312,f9e22e9877d471cb62ddef32c357a0f1b0924eb7f5df8d0f4503c4719345ca8b,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
5583,2c09f185ff75840a6a5c9817d2fcdeb6a0d911322ed4c14df5a78437e78acbab,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
33171,1fefbf8c9ffceaf2151d42288a97deaca424db7a0de675acaf44579dace75cf6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35924,8690098ac1d889e34eaa8170620736ec47e956467355bdc9d504b026edbbbc7d,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5396,176c5763eb7fae00a283deebc6178ef7aa1e4e1ba9f0dd3dc368c6725546e88e,2,0,1,2,0,2,0,1,2,0,2,0,1,2,0,2,0,1,2,0,2,0,1,2,0,2,0,1,2,0
4206,a353ac82f784683fe123c9ab897655aabcf13ac5adae391203faf73d49d3a909,4,4,5,3,2,4,3,3,2,1,4,3,0,1,2,3,1,2,4,0,1,0,8,5,4,0,0,6,4,3
21353,92f194ee9a9a32accdb5776f6ef051058e38285047d9c56d230cc6987697bc53,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,2,0,2,0,2,0,2
34601,902ee94f837b1658f3872859ba10f66185e130a75067539b13783b4c9cedb727,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16737,b322ffe9cb68654aceebd0630c78ea4c55863a138051e948ae012fa50ed0888f,0,0,0,1,0,0,0,0,2,2,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1
12638,e080c8de8e3f647145f909c3a96c433569c4a437fc786ce7f2a8e756d4e0908b,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20843,205e165f4ceed40dce8b69bbca33ff40b6a93cb233548d660e083c505a446936,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1
2174,39265f6619d42c84bf989c74bf9248d1c406e76511693f55948d7797aa534a22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31960,608012e703ac3f7a5709f41c2f648c44c91391251bbffcd0b9a2aeed24461f6f,0,2,0,3,0,0,2,0,3,0,0,2,0,3,0,0,2,0,3,0,0,2,0,3,0,0,2,0,3,0
39910,cc8548771d54daf7390faa3305c930e8b035500b8497d265519b785fcafe80f7,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22661,ddb89166a90ce89773bdb18f772beec6aa4eee16e4a3335c83c42683a2b49736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37976,40e7d628a37952c8b0c88f8834713a42191ec8deee96eb44b1ee556b36135a69,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
23274,c752b4eb2d452891fc78023d9608c9cba32458216b62822392212da09fcdc26b,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
32069,04e4e645a0922b663e44a8f1e9f2a2a89d4deb10bdf1de7a3c4549498d008e5f,1,3,4,1,3,4,1,3,4,1,3,4,1,3,4,1,3,4,1,3,4,1,3,4,1,3,4,1,3,4
