HashFunction,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
24392e6cfef2df200a84819f2e21bc4d8f95533441d366f2195997db873226bc,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
b663ee401d8712d947e96facfc5c6179696eec4658040e83bbed6c721bc919d8,0,4,0,0,0,6,6,4,0,5,0,0,5,0,0,0,0,0,0,0
e14cec8b16916f1e49232239a11f2dccc1d59daa641ce57b5af1bce9ffb1ca90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
8e5c3e67eae8eb0a11ca8bda1df65fc86ba3a9173c0c61357f27be51a0b9cb6a,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0
3ee273031940afd15d510c33d98b4967175c547e3732ff460abd8f5b04575280,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8402b9647c99c8eff61dc1055c8df0eed73cedd1576a363ee0834be9ddaa7809,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
64ffa759cc1fbcbd935b96d1f6b182ebd12f648a6a9783eb7a676f18ca86b98b,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
03b225a868a96c519519a5e20a372feacb22b8c2387659f54a760375c5a62c8d,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
5141917364c7a2c460cb427088a31963bc83d9620565487a7cf7452aa3cbf2fa,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
69d858d52ace62bbabd0bc8a9f9cb1dc04d95dc0fa42edb95263ea8e344b3cd1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
ffd64d53813d0db677e21419956aeb9c6e9547c1d21f18b640daff16553e6846,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9e159ea3ce2711c0a5550f7ec8506c7b2fd117faff31fddd1fab7340373eb3c8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
d68fb98d5aeadd42b9cdd52853bfbe0c24fb608cf4eaa8e9a7a4bb8a9515046f,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7013ad76d2ff55c596a80c716b9e0b2fdbc0b86fa394df9634836ddcc7279406,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
113a6808f7d1387e9bc194dc8e9b575f70be50eacd18502d0b1b92bbf309c011,1,2,1,0,1,2,1,0,2,0,1,1,1,1,1,2,0,2,1,0
0d887cf87d52716c1e138fa089eb67473600f84766874824355b8a15440ebc5d,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
474495ad5b7793ffb5c4da7df07ac5a3a808edc689fb78450ecaa2c98c650981,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
c1f2b1e04f6eae9235153f2f963f58672d5eb4f87791fbd701d86fea38c81052,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
60c4cfeb019307a65633aba1318e28883ca3905d521a4c89322657c1871b9769,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9c0a1f9b1a6f21478aa5b98a482c5ceda763bcd4191311958bc2c926d50cfbc2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
2af53526a01a6ada1d07502100f0a463dc6b936dc056dc32d3735dbac3d51821,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
3398b3067e4ab42adee47975c459557e7e4148e4389476b9b8987b70913f6872,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
c4fe02ac60c2107dcad5151d4fa98c340f985a1d06517e3b90f4a14ae876017b,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2aa9ffa8c813bb1bd019b6bce09b273dab9e056838c1ff1d8bce53f55569ff63,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0f1d99f1d4b935648f69d3b4fde2a2b387dea5bb41c3e2780bba60203a165a1b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4be7f5ec832bb58b979d185f8eacffc6b50666dabfd13318d0a7db88022fa102,2,0,0,4,3,1,0,0,0,0,0,0,2,3,2,0,0,2,0,0
71a5ad8c673d49bed7bdd36750c3ee06c3b8799506b82505425a4fcc15bcbb6d,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0
0ad440bccf05960360c4118fbf93a854a3c11949cbb987a050ebb44eaf746ca6,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
b77ff59e40636efde3d63eb057411c0a6ce21fb24015a8b5b774956dfabd65da,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
