HashFunction,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
21c8c381f2cb09aabc2320735623f705b7fbc919f4b07ab63c1194c3ffecdfc5,2,0,0,0,0,4,0,0,0,0,2,0,0,0,0,2,0,0,0,0
2f909549ce4a98a3d522be348f8a3105f09de426b09e579d1fc392341fbb0096,41,39,47,2,18,19,52,65,44,92,6,15,20,5,8,40,0,0,74,23
c917ba4bbd22b75ee11de020f799df68941517921ec78ce3f99db49a97437e29,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
ddbeb7c33cb7947c19eb35ac2d8476c0b74060a47fb0a0a37e4280bbff53a5e6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
70e3cbcfaffde6eefec324192bd91ae37d0ca102e1129b60fc024a26328f17d0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
68a2df5ec6551dcc6d7a5ab41abed4e353f9e4355be15587fcec8f1d3194652a,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,2,1,0,0
4c32ddcb73e3c9d7ac32f3952f28b7beafb918e28b1515907d79c524cfc6842a,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
c1f2b1e04f6eae9235153f2f963f58672d5eb4f87791fbd701d86fea38c81052,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
9d00ff66a454adbc54151c82fee1b15e0f13ead4fd69bf1af9f8048363475e93,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3be568b19efd479d4e6f84d164e6145c08d37c8d6e208dcd37d9c16118ab222b,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
b3457fc90a76f1d316e2f77943edad8d7d568c9024860bb8c3e8c94521b7e116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
