HashFunction,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
8f353de1ee8b5b0d70c5bbb8c48ac7cb8ca0eaedcfa7e22ce119dd2653e69ce5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
88755e00b28fb3de0f7710ac9756630b992b4cd63af5cdfedabd8ebba5070d52,1,1,1,1,1,2,0,1,1,1,1,1,1,2,0,1,1,1,1,1
af05e8977200f14ee01ca3da0d5883c241ffa578abff927fce7ac84e34ec9197,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
25a03ef479f515d427f0160653121a979ab56f39638b9c15a048178471066c0a,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
26faec18e988390eef457a7db7dba8f4e6b1e573b1ad5dede8378cfb70f4b761,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
cef5a24cc5fa1771955c50dbb9fb496ade7fcc3d71994f35089e687e095e068b,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0b8460bc34d50d520a64b7ad74c98c9cee65d9230c8a660389e2153827306b5b,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
d772a6005b2bc75fe6a84701333da58196f12122c128f0f324bd4c6a9cd11310,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
bdecb9faaca3e382dc15714bd345d2307aff2040fe852f8849b669bfc360e1b6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
d67b660381509cc264da30556106256d6bcd82531a512933c2c9892e1a3908eb,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2cd5e78dddcbf9ef79a6f318bf4210d6e6b1bd866c9a04e6cd78ef72685af355,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8193017c332ef7651183181d1841b8d249078a64a1d875c86fef2ae49ba14e74,1,1,1,1,1,2,0,2,1,1,0,1,1,1,1,1,1,1,1,1
9f0cfc1e6b00fe78dd2d9703860cd9bb647c9e3a466ec34c3f6a6808c0adfb6f,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ad09a4f2166866310526e05f8bcb7f1da1e878bc7023a53cf8aee4f87b32095c,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
95cc726430479b4f1f5f58f5ec8cf89d09b5510377f63ddc8acb968a8bbf0432,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d8ee9361d71b25604222a477af9eb36f10ceb3d2f35920867556c07ca18f67f7,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
47d54d709c6cced12c90351ecbeb0f7be414314acbfc745f4f2fa51e1732d691,6,0,0,4,0,0,6,0,0,7,0,0,6,0,0,6,0,0,7,0
d16f418594da67490c7341fab774536a9242621e7a9799a5d5512bc95a237e84,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4e8e7a6349fb5dff35d79bd384090ae58a2dbe6d59fb965f1e439ea47190c03a,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
35a06097aa8b0439f71ef428e16e883f2504209e396940b8b77fcd97ecb598b9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
005f3b02e813e03b76ade6a7d1422c59d198fdfe0be17eb84e01d6c10d7e6c9a,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0775009c12a76c55048b3ba5fbbe77982436ea023db792ee69abebf203e16fc1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
cb798b55f742794f170cd9109e1aeea3d8555bb80e7d0dcd3f5acd35b0c7d83d,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
94dde71f3437ce0f3ac7570a3a48ec8900b00365fb71c430b0d30639d09c6c29,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2dfe5b559b32a697a51062daf0cd1da673ce13684b5ef2ff58d55ce878ff1699,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
c5e21e7c51812fa319330633ae863cc5ac3404b8763ff82bca46961b490447d5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
02255d534e430776dbdcd72d31533a2b1031dcc9317094a6a8bfac40c7b474cd,0,0,0,0,0,1,0,2,0,0,0,6,0,5,0,0,0,5,0,5
1a2c986ee3d0af6a9897f1a361b203e7b8573cd79952b76538a20205c1def6d7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
dd9d050d1d1ca88c33ce5a25411b2a7265041dcd503670e8a94312e9ebb590b6,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
8dcf5da58a626540c4fc0a28a1eb454f3e6ffccbc047ce8793d9d17498da01b6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3e6cd74fbeb7bb23f804499c86e8c4f92d3317f3a3a4347dd52ea41d256caad8,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
b0e7007e1d7b4e396859e22cdd2f8a013c201e507e1852caa3d82d6c7d9a71ac,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0
3b70d43342e6d8e93d5cc5fe1c4e0529508c22159f72fb798d570857be539902,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
07f1c72257b684c41d5a5ab89c9c3aa7bb68775ce99cc54ea96dd657179415ea,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adb26298bd969990a86d3cf296a29f176a97a99e7f6f6d7d6a2f6f9772bf3370,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
0121d7b328cc948ad807f661d220d8867ebd1378fdb9d678f7be88ad6ed582e8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
845329023c94f520479d06b64affd155bed9c3d97a1609699a381d4da761aa1b,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
a1b2d01731e14671a39725e2e03fedc9212d7d5dc6829cc02fd68627d25ef114,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1
840748416ed1b73be32341c2c994b0d8178fdd5351e829c38adca30bca3a63ca,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
560d5043830116bb79e6b9140ff0d2d2872a045bfde2e2aa3ec4f057a8d7ae3d,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
07a7a1491f470c958b357f9f5c1c7b55dcd87e5270ccf5be40247253f645b37b,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
d40b037c1879cc555803b0f25e627bec21ebb071b47948ae301a2b0b697c19ec,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
4783116059c0180b120afc12c2e4b1062b5d41dbdc32c762ccd98d7dd79dafbf,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
cae2a4c9203ba7546323d8da9162b79acf240c25e067df8dcbe0cdd88a05fa8e,2,0,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,2,0,2
e227af64306649173a7f5a2842db9503e08ed3dc8e1cb2e46ce419bf030965a3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
17234654af1003e30a2edd28dae4d9d8660123c59b336a12fe6ac0a2db134198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48af861f86e9cf01712e8b0394ba48b77c76f23378821bac0ab4ba06e981933a,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
ff168b860a8ec2472ae86dcecaebbb86c100480ec15320c699041967d045ad12,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3affd915534026ade1c3d77865fcbd7c70738ba97cb282b470cbbdf7df084b7d,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
26707091cd98110f0558cb2bb827f103a5b78a1d2453bffcaa496db5f21f47d6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
a6944d7e38e14d68477c0dcba3981aa82e527ff8d4d0acca761de9456823a51a,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
d74f4c5ac92846e87e2ec250277d39ac3000f36f874568af3014aa59db92dce3,0,0,24,0,2,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1
8e074b61285ee33540d8ce14c60f461b4a4f0adc291ded07d4717d60d4330f4d,3,1,2,2,3,1,2,2,2,2,3,1,2,2,2,2,2,3,2,1
26b40cdfcc6a9ed88823e81ac146a01716d3ee2b3dffd3e56763a32ca8d3adaa,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
e9b81e7ad30be0be9aeac36206a6aac04ce9f4215186b35bb73fc3f632922ad9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2ebeb46051e3eab7761cc654759373dde280ef9278f0dce6d7f7844b3e89187b,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1f3ba9ba6465ffd6200867f2828834eeba11b5c662bea37924d5efcab29bc41e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0fbd646bc3d42b1c10db80d60b7f7038cb21b66e1bd5eba88fa0aeee572b49b5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
c8071aeeca637f4026cdb86dba1df84c8552f73d52f8a1f9e2227c1efa5e9609,13,14,21,18,14,13,13,19,18,13,12,14,19,17,12,13,14,18,17,12
5fcf98b30e304e4df20e87391a11ece294a15de04f72cd02f4e4e7a93e736202,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6b1a825eb95b5a1028361d70963ca9495cf2e4c32c51933119a5ec7ab2f70d78,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5b8e23e06189fe99e70c84c6b4516b7e5d08ac87a4ecd17f6e2d7bdaa62dab3d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6510121463998126795568bda767a2bd2aca87d6b24ec7fca178273ee23102d7,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
b4936ac95f0447423ce0929c6be4504efb07c4db93a0c4a4cdb5db36278b5c03,2,2,2,2,2,2,2,2,2,3,1,2,2,3,1,2,2,2,2,2
e1940e1cddfc1d34d20b8fc8fa3fa28b30a88b774427b279c23b8b413668e66f,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,1,0
bf77298c0f27012bb895947ed36fb4216e2c0f0dd22fad7c55f67d30f0fc0300,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6f7bc804d58aef3ac38cfb61dc93412df39b33b3c87fb29483343dec2fc5b6b2,1,0,0,1,0,1,4,0,2,0,0,0,0,1,0,0,0,1,3,2
c09c8939b19ee1bf087049323b58d13cec52dca3fe970669e6f1c877c7329c8a,5,6,7,6,5,6,6,6,6,7,6,5,6,6,6,7,6,6,6,5
45a6b5f62e4c43faa9bf489fb150a79d9687a9455442539fad2dad815c1924cb,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,1,1,0,0
e0f9f2afefdca2565f1830cf9ee6841327a7ae26a5922f5f7d580ec538ac41df,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
bc3ccf533b76d5345d4566e22e4c0a3180da60c7da38017e4d1404e1322642c4,2,8,7,2,4,4,3,4,4,2,2,3,1,3,5,6,6,4,6,5
542aac997a1db6a04bce0d2e80c06af3457d3a4d7fa1a8a42ebc44701eeeb146,0,0,0,2,0,0,0,1,2,0,0,0,0,2,1,1,2,0,2,0
34413bb8b54c72c60998702e2750d9a0df8b099174af108ad5aa497fd024b2b1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8f27131c076c719da611181a32dec6cf891f6069741698cc81b801ae8e421cec,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
d958ae5fa216a7051c2ff4f214bf600fca3e59cb010e7af3702054206b5980c8,2,2,3,6,8,6,2,3,4,3,3,2,2,1,2,5,5,6,7,11
209db4a8989a340d552a23961dfbcdd289401a9d448927cdcd10b3030b837611,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ce7fae9bea195300f2f119270b8f29408e8f1d9331d68bf325d159815c9ce4af,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6163c0805ff956b098dfbe1f6dacf4051c748289e40b2865c91e1ab1a09d8ace,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
9389fef8da5362010abb34a05fe660cb8e8c9132904091f29c1c92ff57e34a66,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2d238b9943285c6f46fff881614ef320a9a9f97dadbfbf9f7df37705050f9564,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b83841fca2de83c15098ee167620fcc33e313a765b43a513b16aca3789b47f0d,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0
